run_dir,policy,num_days,meals_per_day,horizon,seed,total_timesteps,nga_mean,nga_std,dds_mean,dds_std,pa_mean,pa_std,edc_mean,edc_std,return_mean,return_std
runs/agent_time_state_w3_g095_h21/h1_seed42,DQN,1,3,3,42,200000,1.0,0.0,0.461909650169577,0.09583473794029039,0.6945101226369539,0.027904548742800406,0.9414351437725592,0.010718935406822715,4.27557699947593,0.22801931810922693
runs/agent_time_state_w3_g095_h21/h1_seed42,HealthGreedy,1,3,3,42,200000,0.4,0.4898979485566356,0.43021203374459904,0.0915833661727093,0.7179972678422928,0.019267721438637888,0.8742355866675482,0.030099910592722247,2.059871735351747,0.8663214746607322
runs/agent_time_state_w3_g095_h21/h1_seed42,MultiObjectiveGreedy,1,3,3,42,200000,0.725,0.44651427748729383,0.5038653672559816,0.0940867385804929,0.6913005024194717,0.018780732546837577,0.8930497303322316,0.07292699692630486,3.742094808967501,0.7194879932710511
runs/agent_time_state_w3_g095_h21/h1_seed42,Random,1,3,3,42,200000,0.0,0.0,0.5155098117270466,0.06775279934763907,0.6800917002062004,0.03916358349014475,0.42011972510746165,0.17662743467934827,0.9432957170476802,0.589234021259131
runs/agent_time_state_w3_g095_h21/h21_seed42,DQN,21,3,63,42,1000000,0.9654761904761905,0.09931026303797207,0.3602333879409379,0.06901448067520734,0.7001317931546105,0.023473088149645972,0.9499027967328904,0.016929230304918604,68.99304667352123,5.036697451531104
runs/agent_time_state_w3_g095_h21/h21_seed42,HealthGreedy,21,3,63,42,1000000,0.4,0.4898979485566356,0.29143396680254474,0.062040335231007326,0.7179972678422928,0.019267721438637888,0.8742355866670918,0.03009991059283929,23.09730108005644,17.659601745748294
runs/agent_time_state_w3_g095_h21/h21_seed42,MultiObjectiveGreedy,21,3,63,42,1000000,0.7666666666666667,0.3949511293284565,0.37661400294416186,0.06345485846483215,0.6944990119763783,0.018294388774763793,0.9006858467710579,0.05748371651941656,59.20544324215753,11.544717211099607
runs/agent_time_state_w3_g095_h21/h21_seed42,Random,21,3,63,42,1000000,0.0023809523809523807,0.010378330817953984,0.5187638395984188,0.013239635263764898,0.6808542676329139,0.010839694466111195,0.43882078198182556,0.10944050647392589,9.229761897009038,3.1281409210799707
runs/agent_time_state_w3_g095_h21/h3_seed42,DQN,3,3,9,42,1000000,0.8666666666666666,0.26666666666666666,0.41068952054519603,0.09339535759110636,0.6956500381231308,0.03350365984921103,0.941249301549482,0.019999135661533,10.685924680812107,0.8224329325564835
runs/agent_time_state_w3_g095_h21/h3_seed42,HealthGreedy,3,3,9,42,1000000,0.4,0.4898979485566356,0.32265900978912815,0.06868750569651677,0.7179972678422928,0.019267721438637888,0.8742355866672286,0.030099910592804185,4.162196769933469,2.549551521734199
runs/agent_time_state_w3_g095_h21/h3_seed42,MultiObjectiveGreedy,3,3,9,42,1000000,0.7666666666666667,0.39581140290126393,0.4164126841334085,0.07172735763098571,0.6938221994373533,0.01831828905196741,0.8996119281433043,0.05920062417357412,9.337354357044754,1.740952269807548
runs/agent_time_state_w3_g095_h21/h3_seed42,Random,3,3,9,42,1000000,0.0,0.0,0.5129890384156314,0.036491357330096924,0.6848636553933223,0.026978567859209077,0.4284670117608046,0.14280765253637728,1.7573390495743084,0.9566075383781453
runs/agent_time_state_w3_g095_h21/h7_seed42,DQN,7,3,21,42,1000000,1.0,0.0,0.31702196147322437,0.04893235598296741,0.7081433287688664,0.018917243765431323,0.9492600102886051,0.01580108322940545,24.19310164987582,1.8491685054895775
runs/agent_time_state_w3_g095_h21/h7_seed42,HealthGreedy,7,3,21,42,1000000,0.4,0.4898979485566356,0.3011484173816227,0.06410834840851279,0.7179972678422928,0.019267721438637888,0.8742355866671373,0.030099910592827604,8.3718374846931,5.919422658607551
runs/agent_time_state_w3_g095_h21/h7_seed42,MultiObjectiveGreedy,7,3,21,42,1000000,0.7642857142857142,0.39583288578564024,0.3878738253106245,0.06756945592551766,0.6940347235827219,0.017664300981500753,0.8994148752816782,0.06031018179237267,20.369614057710884,4.011193084331096
runs/agent_time_state_w3_g095_h21/h7_seed42,Random,7,3,21,42,1000000,0.0,0.0,0.5193858787726978,0.022248674037555063,0.680838393757031,0.01618104784700903,0.4274301189773443,0.1138161755411689,3.4471780871861784,1.444782912615064
